model,fit time(s),score time(s),accuracy,precision,recall,TP,TN,FP,FN
DecisionTreeClassifier(),2.5149519443511963,0.18405556678771973,0.9303944315545244,0.889763779527559,0.875968992248062,339,864,42,48
RandomForestClassifier(),4.659212827682495,0.31760144233703613,0.9698375870069605,0.9702702702702702,0.9276485788113695,359,895,11,28
SVC(C=100),12.092599868774414,6.776463031768799,0.9481825212683681,0.9145077720207254,0.9121447028423773,353,873,33,34
GaussianNB(),1.0138187408447266,0.41513848304748535,0.9497293116782676,0.8833333333333333,0.958656330749354,371,857,49,16
LogisticRegression(),3.5613620281219482,0.2664046287536621,0.9667440061871616,0.9365482233502538,0.9534883720930233,369,881,25,18
